iter	Passed	Remaining
0	0	76
1	1	68
2	2	65
3	2	62
4	3	61
5	3	59
6	4	58
7	5	57
8	5	57
9	6	56
10	6	56
11	7	55
12	8	55
13	8	54
14	9	53
15	10	53
16	10	53
17	11	52
18	12	51
19	12	51
20	13	50
21	14	49
22	14	49
23	15	48
24	16	48
25	16	47
26	17	46
27	18	46
28	18	46
29	19	45
30	20	44
31	20	44
32	21	43
33	22	42
34	22	42
35	23	41
36	24	41
37	25	40
38	25	40
39	26	39
40	27	39
41	28	38
42	29	38
43	29	37
44	30	37
45	31	36
46	31	35
47	32	35
48	33	34
49	33	33
50	34	33
51	35	32
52	36	32
53	36	31
54	37	30
55	38	30
56	39	29
57	39	28
58	40	28
59	41	27
60	41	26
61	42	26
62	43	25
63	44	24
64	44	24
65	45	23
66	46	22
67	47	22
68	47	21
69	48	20
70	49	20
71	49	19
72	50	18
73	51	18
74	52	17
75	52	16
76	53	15
77	54	15
78	54	14
79	55	13
80	56	13
81	56	12
82	57	11
83	58	11
84	59	10
85	59	9
86	60	9
87	61	8
88	62	7
89	62	6
90	63	6
91	64	5
92	64	4
93	65	4
94	66	3
95	66	2
96	67	2
97	68	1
98	69	0
99	69	0
